stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,platform_code,parent_station,level_id
7168,1 Decembrie,"Str. Victoriei, Ilfov",44.284054,26.053679,,,,
7685,1 Decembrie,"Str. Victoriei, Ilfov",44.284283,26.053696,,,,
PV1_5393,1 Decembrie,,44.549335,26.132105,,,,
PV1_5394,1 Decembrie,,44.54937,26.131472,,,,
PV2_5395,1 Decembrie,,44.471283,25.968885,,,,
PV2_5396,1 Decembrie,,44.47142,25.969751,,,,
14739,1 Decembrie 1918,,44.41059,26.17298,1,,,
8667,1 Decembrie 1918,"DJ 601A, Ilfov",44.463207,25.939009,,,,
8670,1 Decembrie 1918,"DJ 601A, Ilfov",44.46327,25.93847,,,,
PV1_5142,1 Decembrie 1918,,44.39995,26.317715,,,,
PV1_5143,1 Decembrie 1918,,44.399765,26.317905,,,,
PV1_5153,1 Decembrie 1918,,44.30312,26.013725,,,,
PV1_5154,1 Decembrie 1918,,44.30286,26.012758,,,,
14739R,1 Decembrie 1918,,44.41059,26.17298,,2,14739,0
14739T,1 Decembrie 1918,,44.41059,26.17298,,1,14739,0
PV2_5144,1 Iunie,,44.533222,25.991196,,,,
PV2_5145,1 Iunie,,44.532898,25.992022,,,,
14745,1 Mai,,44.47112,26.0504,1,,,
3653,1 Mai,"Bd. 1 Mai, Bucuresti",44.41778,26.035534,,,,
3654,1 Mai,"Bd. 1 Mai, Bucuresti",44.419407,26.047092,,,,
14745R,1 Mai,,44.47112,26.0504,,2,14745,0
14745T,1 Mai,,44.47112,26.0504,,1,14745,0
8682,1 Martie,"DJ 602, Ilfov",44.422333,25.878494,,,,
8685,1 Martie,"DJ 602, Ilfov",44.42316,25.878473,,,,
3305,11 Iunie,"Bd. Regina Maria, Bucuresti",44.42385,26.09503,,,,
3307,11 Iunie,"Bd. Regina Maria, Bucuresti",44.424282,26.095793,,,,
7261,11 Iunie,"Bd. Regina Maria, Bucuresti",44.424507,26.09613,,,,
7393,11 Iunie,"Bd. Regina Maria, Bucuresti",44.423504,26.094433,,,,
PV1_5152,11 Iunie,,44.314312,26.018314,,,,
PV1_5155,11 Iunie,,44.31456,26.018599,,,,
PV1_117,23.aug,,44.551155,26.07217,,,,
6021,A.C.R.,"Str. Atomistilor, Ilfov",44.349373,26.029627,,,,
6107,A.C.R.,"DJ 401A, Ilfov",44.34825,26.028276,,,,
6490,A.C.R.,"DC 19, Ilfov",44.347897,26.029016,,,,
6810,A.N.E.F.S.,"Splaiul Independentei, Bucuresti",44.43894,26.06956,,,,
6304,A.S.E.,"Calea Dorobanti, Bucuresti",44.4476,26.099356,,,,
7183,A.S.E.,"Calea Dorobanti, Bucuresti",44.44729,26.099491,,,,
6702,ADP Sector 1,"Sos. Odai, Bucuresti",44.5214,26.02849,,,,
6706,ADP Sector 1,"Sos. Odai, Bucuresti",44.521397,26.0287,,,,
10768,Abator,"DJ 101B, Ilfov",44.71976,26.270397,,,,
10777,Abator,"DJ 101B, Ilfov",44.719467,26.270649,,,,
PV1_575,Academia De Politie,,44.51696,26.084158,,,,
PV1_593,Academia De Politie,,44.516716,26.084085,,,,
7147,Academia de Politie,"Strapungerea Jandarmeriei, Bucuresti",44.516712,26.084099,,,,
99090,Academia militară,,44.42988,26.062666,1,,,
9909R,Academia militară,,44.42988,26.062666,,1,99090,0
9909T,Academia militară,,44.42988,26.062666,,2,99090,0
99091,Academia militară A,,44.42988,26.062666,2,,99090,1
99092,Academia militară B,,44.429825,26.063063,2,,99090,1
99093,Academia militară C,,44.42923,26.06276,2,,99090,1
99094,Academia militară D,,44.42892,26.062138,2,,99090,1
8992,Academiei,"DJ101, Ilfov",44.63203,26.1788,,,,
9003,Academiei,"DJ101, Ilfov",44.631996,26.178513,,,,
6474,Actiunii,"Str. Actiunii, Bucuresti",44.370068,26.103094,,,,
12320,Acvila,Str. Apeductului,44.447475,25.9954,,,,
3100,Adesgo,"Calea Serban Voda, Bucuresti",44.41129,26.10034,,,,
3649,Adesgo,"Calea Serban Voda, Bucuresti",44.4114,26.100405,,,,
7277,Adesgo,"Calea Serban Voda, Bucuresti",44.41114,26.09987,,,,
7385,Adesgo,"Calea Serban Voda, Bucuresti",44.411495,26.10074,,,,
PV2_813,Adora Urban Village,,44.375683,26.00938,,,,
PV2_825,Adora Urban Village,,44.375664,26.009407,,,,
8496,Aerodrom,"DC 125, Ilfov",44.36587,25.913198,,,,
8497,Aerodrom,"DC 125, Ilfov",44.366005,25.91358,,,,
12217,Aeroport Baneasa,"Str. Gratioasa, Bucuresti",44.495155,26.080809,,,,
12288,Aeroport Baneasa,DN1,44.497303,26.07957,,,,
7022,Aeroport Baneasa,"Sos. Bucuresti-Ploiesti, Bucuresti",44.496006,26.078865,,,,
PV1_128,Aeroport Baneasa,,44.49587,26.078863,,,,
PV1_5430,Aeroport Baneasa,,44.49728,26.079613,,,,
6044,Aeroport Henri Coanda Plecari,"Aeroport Otopeni, Ilfov",44.571396,26.076683,,,,
6626,Aeroport Henri Coanda Plecari,"Aeroport Otopeni, Ilfov",44.571392,26.076683,,,,
6046,Aeroport Henri Coanda Sosiri,"Aeroport Otopeni, Ilfov",44.569016,26.077337,,,,
6504,Aeroport Henri Coanda Sosiri,"Aeroport Otopeni, Ilfov",44.569424,26.07731,,,,
6836,Aeroportul Baneasa,"Bd. Ion Ionescu de la Brad, Bucuresti",44.4953,26.077682,,,,
6845,Aeroportul Baneasa,"Bd. Ion Ionescu de la Brad, Bucuresti",44.49551,26.077524,,,,
8424,Aeroportului,"Sos. Bucuresti-Alexandria(DN6), Ilfov",44.351147,25.954874,,,,
8427,Aeroportului,"Sos. Bucuresti-Alexandria(DN6), Ilfov",44.35134,25.955473,,,,
PV1_531,After School,,44.589195,26.135563,,,,
PV1_570,After School,,44.589607,26.135576,,,,
12012,Agregatelor,"Str. Gherghitei, Bucuresti",44.476875,26.139317,,,,
12013,Agregatelor,"Str. Gherghitei, Bucuresti",44.47607,26.139872,,,,
PV9_710,Agricultori,,44.547157,25.957188,,,,
PV9_721,Agricultori,,44.546474,25.95745,,,,
3710,Agricultorilor,"Str. Matei Voievod, Bucuresti",44.437267,26.131834,,,,
3839,Agricultorilor,"Str. Matei Voievod, Bucuresti",44.43738,26.132893,,,,
8993,Agromec,"DJ101, Ilfov",44.635742,26.19163,,,,
9002,Agromec,"DJ101, Ilfov",44.63582,26.191687,,,,
3256,Agronomie,"Bd. Marasti, Bucuresti",44.471504,26.072477,,,,
3266,Agronomie,"Bd. Marasti, Bucuresti",44.4716,26.072392,,,,
PV1_803,Agropol,,44.35413,26.210201,,,,
6925,Albotesti,"Sos. Alexandriei, Bucuresti",44.39302,26.027925,,,,
7504,Albotesti,"Sos. Alexandriei, Bucuresti",44.393272,26.02913,,,,
PV9_682,Aleea Cu Brazi,,44.563004,25.933104,,,,
PV9_698,Aleea Cu Brazi,,44.563057,25.932848,,,,
PV1_3268,Aleea Danubiana,,44.364452,26.193895,,,,
12206,Aleea Lacului,"Sos. Fundeni, Bucuresti",44.45393,26.163568,,,,
12207,Aleea Lacului,"Sos. Fundeni, Bucuresti",44.45482,26.163872,,,,
PV1_5301,Aleea Lacului,,44.45393,26.163568,,,,
PV1_5302,Aleea Lacului,,44.45482,26.163872,,,,
6757,Aleea Privighetorilor,"Sos. Bucuresti-Ploiesti, Bucuresti",44.517307,26.07873,,,,
7021,Aleea Privighetorilor,"Sos. Bucuresti-Ploiesti, Bucuresti",44.518974,26.077593,,,,
PV1_125,Aleea Privighetorilor,,44.517307,26.078722,,,,
PV1_9,Aleea Privighetorilor,,44.51897,26.077568,,,,
3724,Aleea Raul Targului,"Str. Emil Racovita, Bucuresti",44.38047,26.126396,,,,
3787,Aleea Raul Targului,"Str. Emil Racovita, Bucuresti",44.379993,26.126986,,,,
3789,Aleea Vlasiei,"Drumul Taberei, Bucuresti",44.41611,26.024773,,,,
PV1_5341,Alexander Residence,,44.51542,26.150892,,,,
PV1_5347,Alexander Residence,,44.515907,26.148981,,,,
6667,Alexandru Ioan Cuza,"Bd. 1 Decembrie 1918(Chiajna), Ilfov",44.448715,26.013426,,,,
3269,Alexandru Sihleanu,"Calea Calarasilor, Bucuresti",44.432976,26.113699,,,,
6755,Alexandru Sihleanu,"Calea Calarasilor, Bucuresti",44.43291,26.113607,,,,
3113,Alexandru cel Bun,"Str. Maica Domnului, Bucuresti",44.45913,26.119904,,,,
3374,Alexandru cel Bun,"Str. Maica Domnului, Bucuresti",44.459026,26.119984,,,,
3721,Aliorului,"Str. Emil Racovita, Bucuresti",44.382294,26.124624,,,,
3757,Aliorului,"Bd. Alex. Obregia, Bucuresti",44.378674,26.118362,,,,
3796,Aliorului,"Bd. Alex. Obregia, Bucuresti",44.379204,26.118185,,,,
3853,Aliorului,"Str. Emil Racovita, Bucuresti",44.382694,26.124422,,,,
7099,Alunisului,"Str. Ciutaci, Ilfov",44.40705,25.923817,,,,
7198,Alunisului,"Str. Ciutaci, Ilfov",44.407204,25.922367,,,,
3820,Amazoanei,"Str. Dristorului, Bucuresti",44.425877,26.136078,,,,
PV1_5774,Ambasada S.u.a.,,44.51413,26.083551,,,,
